#{"t_start": 1757234537.4369645, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,84.169906
-200.0,200,84.457194
-200.0,200,84.729601
-200.0,200,84.9893
-200.0,200,85.296529
-200.0,200,85.59371
-200.0,200,85.86264
-200.0,200,86.154244
-200.0,200,86.44839
-200.0,200,86.72038
-200.0,200,87.039311
-200.0,200,87.359741
-200.0,200,87.641027
-200.0,200,87.909622
-200.0,200,88.199421
-200.0,200,88.490831
-200.0,200,88.803935
-200.0,200,89.09681
-200.0,200,89.371804
-200.0,200,89.66736
-200.0,200,89.952495
-200.0,200,90.227101
-200.0,200,90.517946
-200.0,200,90.794389
-200.0,200,91.090538
-200.0,200,91.387166
-200.0,200,91.65653
-200.0,200,91.946737
-200.0,200,92.281957
-200.0,200,92.567709
-200.0,200,92.835534
-200.0,200,93.091378
-200.0,200,93.377289
-200.0,200,93.672626
-200.0,200,93.941715
-200.0,200,94.253987
-200.0,200,94.553417
-200.0,200,94.840779
-200.0,200,95.123573
-200.0,200,95.401531
-200.0,200,95.70336
-200.0,200,95.972041
-200.0,200,96.248617
-200.0,200,96.523546
-200.0,200,96.81447
-200.0,200,97.100101
-200.0,200,97.376989
-200.0,200,97.665318
-196.0,196,97.954653
-200.0,200,98.231489
-200.0,200,98.50306
-197.0,197,98.784332
-200.0,200,99.076967
-200.0,200,99.386806
-200.0,200,99.696059
-200.0,200,100.007695
-200.0,200,100.328201
-200.0,200,100.640416
-200.0,200,100.941364
-200.0,200,101.243261
-200.0,200,101.564328
-200.0,200,101.843117
-200.0,200,102.12257
-200.0,200,102.420102
-200.0,200,102.738346
-200.0,200,103.038196
-200.0,200,103.314651
-200.0,200,103.613797
-200.0,200,103.929413
-200.0,200,104.209368
-200.0,200,104.514242
-200.0,200,104.798754
-200.0,200,105.114192
-200.0,200,105.410596
-200.0,200,105.692519
-200.0,200,105.970129
-200.0,200,106.255673
-200.0,200,106.517179
-200.0,200,106.791131
-200.0,200,107.060646
-200.0,200,107.333003
-200.0,200,107.612609
-200.0,200,107.888697
-200.0,200,108.16586
-200.0,200,108.441106
-200.0,200,108.719193
-200.0,200,108.97687
-200.0,200,109.271565
-200.0,200,109.56816
-200.0,200,109.825219
-200.0,200,110.088919
-200.0,200,110.358501
-200.0,200,110.625016
-200.0,200,110.898511
-200.0,200,111.161903
-200.0,200,111.427647
-200.0,200,111.704894
-200.0,200,111.979301
-200.0,200,112.244594
-200.0,200,112.525389
-200.0,200,112.806651
-200.0,200,113.113589
-154.0,154,113.326085
-200.0,200,113.616983
-200.0,200,113.927951
-200.0,200,114.230108
-200.0,200,114.512709
-200.0,200,114.79137
-200.0,200,115.094712
-200.0,200,115.378927
-200.0,200,115.670645
-200.0,200,115.943719
-200.0,200,116.247243
-200.0,200,116.549353
-200.0,200,116.851397
-200.0,200,117.134949
-200.0,200,117.418272
-200.0,200,117.696732
-200.0,200,117.988782
-200.0,200,118.281621
-200.0,200,118.592363
-200.0,200,118.900262
-200.0,200,119.200332
-200.0,200,119.496707
-200.0,200,119.81582
-200.0,200,120.085115
-200.0,200,120.386826
-200.0,200,120.695447
-200.0,200,120.990127
-200.0,200,121.25688
-200.0,200,121.531379
-200.0,200,121.806957
-200.0,200,122.086732
-200.0,200,122.368619
-200.0,200,122.637663
-200.0,200,122.909189
-200.0,200,123.179136
-200.0,200,123.459148
-200.0,200,123.753732
-200.0,200,124.033605
-200.0,200,124.320139
-200.0,200,124.608992
-146.0,146,124.814004
-200.0,200,125.087292
-200.0,200,125.373203
-200.0,200,125.661861
-200.0,200,125.942074
-200.0,200,126.219726
-200.0,200,126.504009
-200.0,200,126.794235
-151.0,151,127.000307
-200.0,200,127.288064
-200.0,200,127.5995
-200.0,200,127.901747
-200.0,200,128.200391
-200.0,200,128.515925
-200.0,200,128.839511
-167.0,167,129.089054
-200.0,200,129.376754
-200.0,200,129.677232
-200.0,200,129.993084
-200.0,200,130.308642
-200.0,200,130.619945
-200.0,200,130.904332
-200.0,200,131.196152
-200.0,200,131.504569
-200.0,200,131.814704
-200.0,200,132.101754
-200.0,200,132.4052
-200.0,200,132.695926
-200.0,200,132.99034
-200.0,200,133.289767
-200.0,200,133.575094
-200.0,200,133.848902
-200.0,200,134.122917
-200.0,200,134.394226
-200.0,200,134.678228
-200.0,200,134.962829
-200.0,200,135.238963
-200.0,200,135.514143
-200.0,200,135.793932
